Client Code,TradeDate,Segment,ScripName,ScripCode,Strike Price,ExpiryDate,ISIN,BuyQty,BuyPrice,BuyAmount,SellQty,SellPrice,SellAmount,Ord,
105629,17/03/2022,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,5,359.50,1797.50,0,0.00,0.00,10000,
105629,19/04/2022,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,5,380.00,1900.00,0,0.00,0.00,1650339,
105629,07/12/2022,CASH,BHARAT PETROLEUM CORPORATION L,,0,,INE029A01011,0,0.00,0.00,30,336.25,10087.50,10000,
105629,10/09/2020,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,500.00,500.00,0,0.00,0.00,1599708,
105629,20/10/2020,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,0,0.00,0.00,1,405.00,405.00,10000,
105629,28/10/2020,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,471.00,471.00,0,0.00,0.00,1603854,
105629,28/10/2020,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,476.00,476.00,0,0.00,0.00,1603854,
105629,14/11/2020,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,2,480.00,960.00,0,0.00,0.00,10000,
105629,01/03/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,530.00,530.00,0,0.00,0.00,10000,
105629,28/09/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,2,702.00,1404.00,0,0.00,0.00,10000,
105629,30/09/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,690.00,690.00,0,0.00,0.00,10000,
105629,03/11/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,705.00,705.00,0,0.00,0.00,1635925,
105629,04/11/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,700.90,700.90,0,0.00,0.00,1636029,
105629,10/12/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,710.50,710.50,0,0.00,0.00,10000,
105629,15/12/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,685.00,685.00,0,0.00,0.00,10000,
105629,17/12/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,665.00,665.00,0,0.00,0.00,10000,
105629,20/12/2021,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,658.00,658.00,0,0.00,0.00,10000,
105629,28/01/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,717.20,717.20,0,0.00,0.00,10000,
105629,12/04/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,745.00,745.00,0,0.00,0.00,10000,
105629,04/05/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,725.00,725.00,0,0.00,0.00,1651634,
105629,04/05/2022,CASH,BHARTI AIRTEL LTD.,,0,,INE397D01024,1,725.00,725.00,0,0.00,0.00,1651634,
